parent,child,weight,files
TRSMU_00_02,GEMM_04_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_04_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_06_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_06_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_13_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_13_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_02_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_02_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_07_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_07_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_08_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_08_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_05_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_05_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_11_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_11_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_03_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_03_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_01_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_01_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_10_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_10_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_12_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_12_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_14_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_14_02_00': 0.8800000000000001}
TRSMU_00_02,GEMM_09_02_00,0.8800000000000001,{'TRSMU_00_02GEMM_09_02_00': 0.8800000000000001}
TRSML_12_11,GEMM_12_12_11,0.8800000000000001,{'TRSML_12_11GEMM_12_12_11': 0.8800000000000001}
TRSML_12_11,GEMM_12_14_11,0.8800000000000001,{'TRSML_12_11GEMM_12_14_11': 0.8800000000000001}
